Auteur;P1;Ecole_pays_1;P_Dates;Id
BONNET LOUIS;;;;15364
BONNOT SYLVIE;née en 1982 , femme, nationalité : française;;1982;33697
BONSIGNORI FRANCESCO;;;;36076
BONZON ARIELE;Mâcon (saône-et-loire), 1955, femme;;1955;11169
BORDERIA A;;;;3971
BOREL;;;;20970
BOREL F;;;;20906
BORRE M & DOYEZ J;Éditeurs à paris;;;27487
BORREANI GEORGES;?, 1963;;1963;13423
BORREMANS L;13 rue de la grange ory, cachan;;13;26705
BOSC;Strasbourg, 1931, cork en irlande, 2019-02-09;FRANCE;1931-2019-02-09;13863
BOSCH EMILE VAN;;;;2774
BOTINELLY LOUIS;;;;24609
BOTTA;;;;14103
BOTTICELLI SANDRO;;;;36077
BOTTO E BRUNO;;;;33700
BOUBAT EDOUARD;Paris, 1923, paris, 1999;FRANCE;1923-1999;13345
BOUCHARD HENRI;;;;24658
BOUCHARD THOMAS;;;;2758
BOUCHER LOUIS;Le chesnay, 1848, argenteuil, 1916;;1848-1916;33723
BOUCHER LOUIS ?;;;;33722
BOUCHER PIERRE;Paris, 1908, faremoutiers, 2000;FRANCE;1908-2000;2275
BOUCHET A;;;;13695
BOUCHOR JOSEPH FELIX;paris, 1853-09-17, paris, 1937-10-27;;1853-09-17-1937-10-27;12478
BOUDIER VERONIQUE;Nantua, 1961, femme;FRANCE;1961;3778
BOUGAULT A;;;;15218
BOUGUEREAU WILLIAM;la rochelle, 1825, la rochelle, 1905, nationalité : française#braun clément & cie : ?, 1862, ?, ?;;1825-1905-1862;33701
BOUILLAUD GUSTAVE;;;;8704
BOULANGER;;;;17177
BOULICAULT;;;;20048
BOULLE;;;;9846
BOULLEY;;;;24730
BOULLOGNE LOUIS;;;;76
BOULLOGNE LOUIS LE JEUNE;;;;76
BOUQUET;;;;9841
BOURDELOT;;;;11617
BOURDIER A;;FRANCE;;28
BOURDON SEBASTIEN;;;;18908
BOURGEOIS;;;;13580
BOURGEOIS A;;;;30211
BOURGEOIS FRERES;;;;24730
BOURGEOIS L;;FRANCE;;29
BOURGEOIS PAUL;;;;25614
BOURGET MARIE;bourgoin-jaillieu, 1952, femme, nationalité : française;;1952;11970
BOURGOGNE FRERES;;;;14528
BOURGOGNE J;;;;12169
BOURGOGNE MR;photographe, a effectué des photographies d'oeuvres du musée pour louis gonse;;;8510
BOURGUIGNON;;;;18974
BOURNE SAMUEL;1834, 1912;;1834-1912;23645
BOURRELLY;;;;18647
BOURSAT SOPHIE;?, 1959, femme, nationalité : française;FRANCE;1959;11971
BOUSSARIE F;;;;20866
BOUSSETON ALPHONSE JOSEPH;photographes. maison e. defonds (pigelet - defonds). 21 rue louis-le-grand, paris#appert : photographe pour la maison e. defonds (pigelet - defonds). 21 rue louis-le-grand, paris, en association avec bousseton.;;21-21;8754
BOUSSOD VALADON & CIE;Boussod, valadon et cie, successeurs de goupil et cie, 1884-1897;FRANCE;1884-1897;1110
BOUSTEDT BO;;;;12780
BOUTEILLER;;;;24792
BOUTET JEAN;;;;11797
BOUTIQUE AUGUSTE;Photographe à douai;FRANCE;;32
BOUTONNET R;;;;17569
